Station_Name,Train,count
Gun Hill Rd,"[{'NAME': '2-5'}, {'NAME': '5'}]",2
Pelham Pkwy,"[{'NAME': '2-5'}, {'NAME': '5'}]",2
Intervale Ave,[{'NAME': '2-5'}],1
Freeman St,[{'NAME': '2-5'}],1
Grand St,"[{'NAME': 'B-D'}, {'NAME': 'L'}]",2
161st St - Yankee Stadium,"[{'NAME': 'B-D'}, {'NAME': '4'}]",2
Bedford Park Blvd,[{'NAME': 'B-D'}],1
Fordham Rd,"[{'NAME': 'B-D'}, {'NAME': '4'}]",2
170th St,"[{'NAME': 'B-D'}, {'NAME': '4'}]",2
Tremont Ave,[{'NAME': 'B-D'}],1
Kingsbridge Rd,"[{'NAME': 'B-D'}, {'NAME': '4'}]",2
167th St,"[{'NAME': 'B-D'}, {'NAME': '4'}]",2
174th-175th Sts,[{'NAME': 'B-D'}],1
182nd-183rd Sts,[{'NAME': 'B-D'}],1
34th St - Hudson Yards,[{'NAME': '7-7 Express'}],1
5th Ave - Bryant Pk,[{'NAME': '7-7 Express'}],1
Grand Central - 42nd St,"[{'NAME': '7-7 Express'}, {'NAME': '4-5-6-6 Express'}, {'NAME': 'S'}]",3
Times Sq - 42nd St,"[{'NAME': '7-7 Express'}, {'NAME': 'N-Q-R-W'}, {'NAME': 'S'}, {'NAME': '1-2-3'}]",4
Vernon Blvd - Jackson Ave,[{'NAME': '7-7 Express'}],1
Hunters Point Ave,[{'NAME': '7-7 Express'}],1
Court Sq,[{'NAME': '7-7 Express'}],1
Woodside - 61st St,[{'NAME': '7-7 Express'}],1
Flushing - Main St,[{'NAME': '7-7 Express'}],1
Junction Blvd,[{'NAME': '7-7 Express'}],1
Mets - Willets Point,[{'NAME': '7-7 Express'}],1
Parkchester,[{'NAME': '6-6 Express'}],1
Westchester Sq - E Tremont Ave,[{'NAME': '6-6 Express'}],1
Pelham Bay Park,[{'NAME': '6-6 Express'}],1
Middletown Rd,[{'NAME': '6-6 Express'}],1
Hunts Point Ave,[{'NAME': '6-6 Express'}],1
Zerega Ave,[{'NAME': '6-6 Express'}],1
Castle Hill Ave,[{'NAME': '6-6 Express'}],1
3rd Ave - 138th St,[{'NAME': '6-6 Express'}],1
Buhre Ave,[{'NAME': '6-6 Express'}],1
Union Sq - 14th St,"[{'NAME': '4-5-6-6 Express'}, {'NAME': 'L'}, {'NAME': 'N-Q-R-W'}]",3
Lexington Ave - 59th St,"[{'NAME': '4-5-6-6 Express'}, {'NAME': 'N-R-W'}]",2
Brooklyn Bridge - City Hall,[{'NAME': '4-5-6-6 Express'}],1
25th St,[{'NAME': 'D-N-R'}],1
4th Av - 9th St,"[{'NAME': 'D-N-R'}, {'NAME': 'F-G'}]",2
Union St,[{'NAME': 'D-N-R'}],1
Nevins St,[{'NAME': '2-3-4-5'}],1
