Train_Name,Station,count
S,"[{'NAME': 'Franklin Ave - Fulton St'}, {'NAME': 'Botanic Garden'}, {'NAME': 'Times Sq - 42nd St'}, {'NAME': 'Park Pl'}, {'NAME': 'Grand Central - 42nd St'}]",5
Q,"[{'NAME': '96th St'}, {'NAME': '86th St'}, {'NAME': '72nd St'}, {'NAME': 'Cortelyou Rd'}, {'NAME': 'Neck Rd'}, {'NAME': 'Ave H'}, {'NAME': 'Ave J'}, {'NAME': 'Ave M'}, {'NAME': 'Ave U'}, {'NAME': 'Parkside Ave'}, {'NAME': 'Beverly Rd'}, {'NAME': 'Ocean Pkwy'}]",12
7-7 Express-N-W,[{'NAME': 'Queensboro Plz'}],1
F-G,"[{'NAME': 'Carroll St'}, {'NAME': 'Bergen St'}, {'NAME': 'Smith - 9th Sts'}, {'NAME': '4th Av - 9th St'}, {'NAME': 'Church Ave'}, {'NAME': 'Ft Hamilton Pkwy'}, {'NAME': '7th Ave'}, {'NAME': '15th St - Prospect Park'}]",8
B-Q,"[{'NAME': 'Kings Hwy'}, {'NAME': 'Sheepshead Bay'}, {'NAME': 'Brighton Beach'}, {'NAME': ""Atlantic Av - Barclay's Center""}, {'NAME': '7th Ave'}, {'NAME': 'Newkirk Ave'}, {'NAME': 'Church Ave'}]",7
D-N-Q-R,"[{'NAME': ""Atlantic Av - Barclay's Center""}]",1
4-5,"[{'NAME': 'Fulton St'}, {'NAME': 'Wall St'}, {'NAME': 'Bowling Green'}, {'NAME': '138th St - Grand Concourse'}, {'NAME': 'Borough Hall'}]",5
5,"[{'NAME': 'Gun Hill Rd'}, {'NAME': 'Eastchester - Dyre Ave'}, {'NAME': 'Baychester Ave'}, {'NAME': 'Pelham Pkwy'}, {'NAME': 'Morris Park'}]",5
1-2-3,"[{'NAME': '14th St'}, {'NAME': 'Chambers St'}, {'NAME': 'Times Sq - 42nd St'}, {'NAME': '34th St - Penn Station'}, {'NAME': '72nd St'}, {'NAME': '96th St'}]",6
2-3,"[{'NAME': 'Clark St'}, {'NAME': 'Wall St'}, {'NAME': 'Borough Hall'}, {'NAME': 'Hoyt St'}, {'NAME': 'Park Pl'}, {'NAME': 'Fulton St'}, {'NAME': '116th St'}, {'NAME': '135th St'}, {'NAME': '125th St'}, {'NAME': 'Central Park North (110th St)'}]",10
3,"[{'NAME': 'Harlem - 148 St'}, {'NAME': '145th St'}]",2
7,"[{'NAME': '40th St'}, {'NAME': '33rd St'}, {'NAME': '90th St - Elmhurst Av'}, {'NAME': '82nd St - Jackson Hts'}, {'NAME': '46th St'}, {'NAME': '52nd St'}, {'NAME': '74th St - Broadway'}, {'NAME': '69th St'}, {'NAME': '111th St'}, {'NAME': '103rd St - Corona Plaza'}]",10
F-Q,"[{'NAME': 'Lexington Ave - 63rd St'}, {'NAME': 'W 8th St - NY Aquarium'}]",2
A-C-E,"[{'NAME': '14th St'}, {'NAME': '34th St - Penn Station'}, {'NAME': '23rd St'}, {'NAME': 'Canal St - Holland Tunnel'}, {'NAME': 'Spring St'}, {'NAME': '42nd St - Port Authority Bus Term'}, {'NAME': '50th St'}, {'NAME': 'W 4th St - Washington Sq (Upper)'}]",8
M,"[{'NAME': 'Forest Ave'}, {'NAME': 'Middle Village - Metropolitan Ave'}, {'NAME': 'Fresh Pond Rd'}, {'NAME': 'Knickerbocker Ave'}, {'NAME': 'Central Ave'}, {'NAME': 'Seneca Ave'}, {'NAME': 'Myrtle - Wyckoff Aves'}]",7
E-F-M-R,"[{'NAME': 'Jackson Hts - Roosevelt Av'}, {'NAME': 'Forest Hills - 71st Av'}]",2
2,[{'NAME': 'Wakefield - 241st St'}],1
A-B-C-D,"[{'NAME': '125th St'}, {'NAME': '59th St - Columbus Circle'}, {'NAME': '145th St'}]",3
R,"[{'NAME': '86th St'}, {'NAME': 'Bay Ridge - 95th St'}, {'NAME': 'Bay Ridge Ave'}, {'NAME': '77th St'}]",4
B-D-E,[{'NAME': '7th Ave'}],1
N-R-W,"[{'NAME': 'Lexington Ave - 59th St'}, {'NAME': '5th Ave - 59th St'}]",2
F-M,"[{'NAME': '14th St'}, {'NAME': '23rd St'}]",2
A-C-G,[{'NAME': 'Hoyt - Schermerhorn Sts'}],1
A-C-F,[{'NAME': 'Jay St - MetroTech'}],1
N-R,"[{'NAME': '53rd St'}, {'NAME': '45th St'}, {'NAME': '59th St'}, {'NAME': 'Court St'}, {'NAME': 'Jay St - MetroTech'}]",5
R-W,"[{'NAME': 'Cortlandt St'}, {'NAME': 'Rector St'}, {'NAME': 'Whitehall St'}, {'NAME': 'Canal St'}, {'NAME': 'City Hall'}]",5
N-Q,[{'NAME': 'Canal St'}],1
